"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","usuário deve ter campos obrigatórios","","2026-06-22","passed","2026-06-22","Usuários","public-api.spec.ts","",""
"","22","deve listar 10 usuários","","2026-06-22","passed","2026-06-22","Usuários","public-api.spec.ts","",""
"","404","deve retornar 100 posts","","2026-06-22","passed","2026-06-22","Posts","public-api.spec.ts","",""
"","393","deve buscar post por ID","","2026-06-22","passed","2026-06-22","Posts","public-api.spec.ts","",""
"","28","deve retornar 404 para usuário inexistente","","2026-06-22","passed","2026-06-22","Usuários","public-api.spec.ts","",""
"","49","deve retornar 404 para post inexistente","","2026-06-22","passed","2026-06-22","Posts","public-api.spec.ts","",""
"","36","deve filtrar comentários por postId","","2026-06-22","passed","2026-06-22","Comentários","public-api.spec.ts","",""
